loan_amnt,term,int_rate,annual_inc,dti,home_ownership,grade
18000.0, 60 months,9.8,42000.0,2.77,MORTGAGE,B
16000.0, 36 months,6.99,150000.0,12.18,MORTGAGE,A
15000.0, 36 months,5.32,65000.0,22.32,RENT,A
10000.0, 36 months,8.38,48000.0,6.69,RENT,B
7000.0, 36 months,11.48,66000.0,11.69,RENT,B
8400.0, 36 months,10.64,46000.0,21.03,OWN,B
8000.0, 36 months,12.88,42000.0,10.23,MORTGAGE,C
18000.0, 36 months,7.89,119000.0,18.46,RENT,A
7000.0, 36 months,7.91,26000.0,12.51,RENT,A
4800.0, 36 months,9.17,53000.0,26.29,MORTGAGE,B
12000.0, 60 months,17.27,113000.0,10.93,MORTGAGE,D
17700.0, 36 months,16.55,53000.0,23.48,MORTGAGE,D
32750.0, 60 months,20.5,78000.0,25.43,RENT,E
20800.0, 60 months,11.99,141000.0,18.23,RENT,C
5150.0, 36 months,15.77,20200.0,26.62,MORTGAGE,D
10000.0, 36 months,9.8,100000.0,8.41,MORTGAGE,B
1200.0, 36 months,12.88,30000.0,16.36,RENT,C
16000.0, 60 months,12.88,160000.0,31.57,MORTGAGE,C
18000.0, 36 months,8.38,95000.0,20.5,RENT,B
8000.0, 36 months,6.49,50000.0,22.83,RENT,A
24150.0, 60 months,21.48,57500.0,22.6,RENT,E
18000.0, 60 months,11.99,95000.0,8.98,RENT,C
5950.0, 36 months,9.17,30000.0,18.64,RENT,B
16000.0, 36 months,7.91,50000.0,24.41,MORTGAGE,A
2000.0, 36 months,10.78,25000.0,26.69,RENT,B
7200.0, 36 months,15.77,54000.0,33.56,MORTGAGE,D
25000.0, 36 months,7.91,151000.0,12.49,MORTGAGE,A
16800.0, 36 months,9.76,93851.0,4.42,RENT,B
8300.0, 36 months,13.67,66000.0,16.73,RENT,C
35000.0, 60 months,18.49,100000.0,31.36,MORTGAGE,E
16000.0, 36 months,13.18,50000.0,26.98,RENT,C
7000.0, 36 months,6.49,42000.0,15.74,RENT,A
9500.0, 36 months,7.89,28000.0,14.52,OWN,A
12000.0, 60 months,9.76,74000.0,6.31,MORTGAGE,B
10000.0, 36 months,7.91,103000.0,13.74,MORTGAGE,A
6000.0, 36 months,13.99,210000.0,12.55,MORTGAGE,C
7750.0, 36 months,15.41,36000.0,39.77,RENT,D
6000.0, 36 months,17.27,125000.0,6.39,MORTGAGE,D
2400.0, 36 months,13.99,47000.0,35.59,MORTGAGE,C
14000.0, 36 months,9.8,100000.0,15.97,MORTGAGE,B
12000.0, 60 months,9.8,65000.0,23.84,MORTGAGE,B
12000.0, 36 months,15.77,120000.0,7.7,MORTGAGE,D
17125.0, 60 months,27.99,45000.0,17.44,RENT,G
